Domain,Project Name,Professor,UID,Description,Number of students,Year of study,CPI,Prerequisites,Duration,Learning outcome,Weekly time commitment,Assignment,Instructions for assignment,Additional key points
Chemical,Including device models in eSim Library,Professor: Kannan Moudgalya,UID: CL06,"eSim (previously known as Oscad / FreeEDA) is a free/libre and open-source EDA tool for circuit design, simulation, analysis, and PCB design developed by FOSSEE, IIT Bombay. For more details please check:https://esim.fossee.in.

We are in the process of adding more SPICE Level device models to the eSim Libraries. We would like to have interns have good specialization in device physics, device modelling and even device fabrication. The interns need to create device models of various technology nodes which can be used to generate various Integrated circuits.",2,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",6 and above,"Concepts of Device physics, modelling, fabrication, etc.",2 months,The interns will be able to learn about the SPICE modelling and their applications in different other devices.,Weekly commitment: Around 20hrs a week(negotiable); 1-2 times meeting per week,"https://esim.fossee.in
https://github.com/FOSSEE/eSim/tree/master/library/deviceModelLibrary
https://spoken-tutorial.org/watch/eSim/Creating+a+Device+Model/English
https://esim.fossee.in/resources","Students need to look into the SPICE models and/or BSIM models in detail. Students need to look into the fabrication of the devices, steps in detail. Students also need to be aware about the various fabrication facilities available at IIT Bombay and in India.",undefined
Chemical,Machine learning applied to study of chemical reactions on catalyst surfaces,Professor: Abhijit Chatterjee,UID: CL07,Catalysts are used extensively in the chemical industry to carry out chemical reactions. The catalyst surface contains diverse arrangements of molecules. These arrangements dictate the number of reaction events that can happen in a certain duration of time. The goal of this work is to develop graph convolution neural networks for the molecular topologies which can be used to predict and optimize the reaction rates. Students will be exposed to various machine learning techniques in this project.,1,"Students entering their 2nd year, Students entering their 3rd year",Greater than 7.0,None,1 semester,Use of machine learning tools,15 hours of weekly commitment and 1-2 meetings per week,"https://doi.org/10.1016/j.cpc.2022.108654,     
https://doi.org/10.1063/5.0209343",Write one paragraph summary of the any one of the above papers,undefined
Chemical,Machine learning applied to hydrogen storage materials,Professor: Abhijit Chatterjee,UID: CL08,"Metal hydrides are promising candidates for hydrogen storage applications. From a materials discovery perspective, an accurate, efficient computational workflow is required that can rapidly analyze/predict thermodynamic properties of these materials. In this work, we develop a machine learning model for hydrogen storage materials. The promising results already obtained with our computational workflow suggest that the approach can be used in future for wider materials search and discovery. Students will be exposed to various machine learning techniques in this project.",1,"Students entering their 2nd year, Students entering their 3rd year",Greater than 7.0,None,1 semester,"Machine learning, hydrogen storage materials",15 hours per week commitment and 1-2 meetings per week,https://www.sciencedirect.com/science/article/pii/S0927025623007218,Provide 1 paragraph summary of the paper above.,undefined
Civil,AI based real-time vehicle detection and classification from video,Professor: Gopal Patil,UID: CE01,"In any transportation planning and traffic management studies classified traffic volume is a key input needed. Counting and classifying vehicular traffic manually is very time and resource consuming. Moreover,  such manual approaches are not suitable for intelligent transport application. The aim of this project is to use Neural Network Based approaches to detect and classify vehicular traffic. In the first stage, offline video will be used to training and validating results. Once the offline results are satisfactory, the next task is to perform the same task with using real time continuous streaming of videos.",two,"Students entering their 3rd year, Students entering their 4th/5th year",Above 7.0,Some experience with image processing.,Around 3 months and may be extended.,"1) Understanding road traffic flow, 2) Application of Convolutional Neural Networks, 3) Training of image processing algorithms",Around 20 hours a week. Weekly meetings along with graduate students.,https://www.sciencedirect.com/science/article/pii/S1877050922001363,Student need to summarize the above and other papers on Yolo and other relevant literature of vehicle classification.,undefined
Civil,Development of Instrumentation for Water Wave Measurements,Professor: Srineash V K,UID: CE02,"To understand and develop instruments for water wave measurement. The project would involve application of engineering principles to create innovative instruments applicable in the field of Ocean Engineering. The instruments include but not limited to wave probes, pressure transducers, velocity measurement devices, Displacement and acceleration. The project would involve use of micro controllers and analogue to digital converters for data aquisition.",2,"Students entering their 3rd year, Students entering their 4th/5th year",7.5 and above,Background on fluid mechanics and basic instrumentration - Preferrable but not essential,6 months,"In addition to learning, students would be contributing to indigenous development of new instruments for waterwave measurements",2 hours and meeting - once a week,https://iitbombay1-my.sharepoint.com/:f:/g/personal/srineash_iitbombay1_onmicrosoft_com/EjhJC0hzV_FAgQuTZgkkyYgBVM5-UThTwOONvjMxm-9-MQ?e=RTZNmO,Students are asked to prepare a single slide reflecting their understanding,undefined
Civil,Developing a Digital Survey Tool for Travel Pattern Data Collection,Professor: Sangram Krishna Nirmale,UID: CE03,"The project aims to create an accessible and user-friendly platform for gathering travel pattern data crucial for travel demand modelling projects. This digital survey tool will be designed to be compatible with various devices, including tablets and mobile phones, ensuring flexibility and convenience for respondents. By leveraging technology, the project seeks to streamline the data collection process, improving efficiency and accuracy in gathering essential travel behaviour information. Through this initiative, stakeholders can access comprehensive and reliable data to inform transportation planning and decision-making processes effectively.",4,"Students entering their 3rd year, Students entering their 4th/5th year",NA,Programming proficiency in any coding language and web development experience are required.,Minimum 4 months,"1. Technical Skills Development: Students may learn technical skills related to software development, database management, and user interface design through hands-on experience with the digital survey tool.

2. Data Analysis Skills: Students may gain proficiency in data analysis techniques by working with collected travel pattern data and extracting meaningful insights using analytical tools.

3. Understanding of Transportation Planning: Students may gain insights into transportation planning processes and methodologies by participating in discussions, workshops, and meetings related to travel demand modelling projects.",Weekly commitment expected from the student (in hours) = 15 hours/week Frequency of meets the students should have every week = twice/week,"https://www.turing.com/kb/fastapi-vs-flask-a-detailed-comparison    
https://www.w3schools.com/nodejs/default.asp        
https://www.w3schools.com/REACT/DEFAULT.ASP
https://tailwindcss.com/        
https://developers.google.com/maps/documentation/javascript/tutorials       
https://pypi.org/project/psycopg/       
https://www.postgresql.org/    
https://www.docker.com/      
https://nginx.org/en/","Dear Students, 
 You are tasked with understanding the key concepts of web development using the resources provided above. Your goal is to learn from each link and prepare a comprehensive 10-page report detailing how one can develop a web-based survey tool using the technologies and frameworks mentioned. 
 Steps to Follow
1. FastAPI vs Flask:
   - Understand the differences and use cases for FastAPI and Flask.
   - Identify which framework is more suitable for the backend of a web-based survey tool.
   - Summarize the key features of the chosen framework.

2. Node.js:
   - Learn the basics of Node.js and its importance in building scalable network applications.
   - Determine how Node.js can be integrated into your survey tool project, especially for backend services.

3. React:
   - Study the fundamental concepts of React and how it can be used to build dynamic user interfaces.
   - Explain how React can be utilized to create the frontend of your survey tool.

4. Tailwind CSS:
   - Explore the utility-first CSS framework and how it helps in designing responsive and modern user interfaces.
   - Describe how Tailwind CSS can be used to style your survey tool.

5. Google Maps JavaScript API:
   - Review the tutorials on adding interactive maps to your web application.
   - Discuss potential uses of Google Maps in a survey tool, such as location-based questions.

6. psycopg and PostgreSQL:
   - Learn about psycopg as a PostgreSQL adapter for Python and its role in database interactions.
   - Understand PostgreSQL as a powerful, open-source object-relational database system.
   - Explain how to set up and interact with a PostgreSQL database for storing survey data.

7. Docker:
   - Investigate how Docker can be used to containerize your application, making it easier to deploy and manage.
   - Discuss the benefits of using Docker in development and production environments for your survey tool.

8. NGINX:
   - Learn about NGINX as a web server that can also be used as a reverse proxy, load balancer, and HTTP cache.
   - Explain how NGINX can be configured to serve your web-based survey tool efficiently.

 Report Structure
Your report should include the following sections:

1. Introduction:
   - Briefly introduce the project and the importance of web-based survey tools.

2. Technology Overview:
   - Provide a summary of each technology and framework based on the resources.
   - Highlight their roles and significance in web development.

3. Framework and Tools Selection:
   - Justify the selection of specific tools and frameworks for developing the survey tool.

4. Development Plan:
   - Outline the steps and methodologies to be followed in developing the survey tool.
   - Include details on setting up the development environment, backend and frontend development, database integration, and deployment.
5. Implementation Details:
   - Provide a detailed explanation of how each tool and framework will be used in the project.
   - Include code snippets, configurations, and setup instructions where applicable.

6. Conclusion:
   - Summarize the key points of your report.
   - Discuss potential challenges and future enhancements for the survey tool.

 Submission Guidelines

- The report should be 10 pages long, formatted professionally with clear headings and subheadings.
- Include diagrams, code snippets, and screenshots to illustrate your points.
- Submit the report as a WORD document. 

This assignment is designed to give you hands-on experience with modern web development tools and practices. 
Note:
Even if you cannot complete the report at this time, it is crucial that you go through all the concepts provided in the resources before starting work on the project. You are expected to submit the completed report at the end of the project.",undefined
Climate Studies,Gridding the Mumbai station data into a data product,"Professor: Prof. Raghu Murtugudde, Akshaya Nikumbh",UID: CMS01,"This project will offer students hands-on experience in developing a weather data product. Students will convert weather data such as temperature, rainfall, and winds collected from various weather stations in Mumbai into a structured and gridded data product. The gridded dataset can be easily analyzed and visualized, and it will be utilized to create an interactive weather dashboard.",2,"Students entering their 3rd year, Students entering their 4th/5th year",NA,"Numerical analysis, Coding (Python preferred)",3-4 months,"Through this project, students will gain hands-on experience in developing a multidimensional weather data product.","Weekly 3-5 hours for work, The frequency of meeting: Once a week",https://climateestimate.net/content/netcdfs-and-basic-coding.html,,undefined
Climate Studies,Improving resolution of gridded precipitation data using deep learning,Professor: Karthikeyan Lanka and Biplab Banerjee (C-MInDS),UID: CMS02,"India Meteorological Department (IMD) hosts a gridded precipitation (rainfall) dataset at 25 km resolution, from 1901-2022. However, this resolution is coarse and not sufficient for several applications in urban areas and agriculture. The goal of this project is to use state-of-the-art deep learning architectures to improve the resolution to 6.25 km (4x) and 3.125 km (8x) resolution. Student will have liberty to use advanced algorithms like GANS, transformers etc. Validation will be carried out with ground-based precipitation observations.",1 or 2,"Students entering their 3rd year, Students entering their 4th/5th year",7.5 and above,Good knowledge of working with deep learning architectures,2-3 months,"Student will get to develop advanced architectures to downscale precipitation. We will also target to publish a paper from this work. Eventually we want to develop this as a dataset for public use. 
This would be a fantastic opportunity to contribute to nation's efforts to advance climate science. If successful, the data will have global user base.",Weekly once or twice. 20 working hours per week. I am flexible with working hours so long the progress is made to achieve the goals.,"Read the below four papers before coming up with a plan.

1. https://drive.google.com/file/d/1ljTAStesxqYPCoQeuuSRHKmofD_U7S28/view?usp=drivesdk

2. https://drive.google.com/file/d/1lspR7prQfWvdB-XP5zqu9-29JffwxQNH/view?usp=drivesdk

3. https://drive.google.com/file/d/1lesnMdxS78qMsHTWTCcHtyjtYEXGPjJZ/view?usp=drivesdk

4. https://drive.google.com/file/d/1lj7ouESWRdGvm0jY8j7Z_DfhFDurFyov/view?usp=drivesdk",Students are expected to read the papers and come up with a plan of DL architecture that can potentially improve the performance of downscaled precipitation. They shojld discuss the plan with us (myself along with Prof. Biplab Banerjee) at the beginning of the project.,undefined
Computer Science,Geospatial educational App for school children,Professor: Eswar Rajasekaran,UID: CS01,"This project aims to develop an educational app for school children. The selected candidate should be able to develop the app, capable of running in a phone. The app contains text, videos and includes hands on for the students to try and carry out geospatial exercises.",3,"Students entering their 2nd year, Students entering their 3rd year",None,Experience in app development. Should be able to join and work as a team.,6 months,The deliverable is a usable application containing multiple learning components (including hands on). Students will be able to learn about app development and also geospatial technologies.,"5-6 hours, 1 meeting weekly.",Details will be shared with interested students.,None.,undefined
Computer Science,Automation data-curation pipeline for lab equipments,Professor: Ankit Jain,UID: CS02,"Seeking student help to setup data-pipelines to automatically collect/fetch data from various lab instruments [running on windows OS] on a periodic basis and save on a remote server [running Linux OS] in mysql database. Further, develop an online tool/web to visualize this data from remote server.",2,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",Greater than 6.5,"database [mysql], python programming [flask server (optional)], familarity with shell/linux OS,",6-12 months,"data collection pipeline, visualisation, etc",6-12 hrs/week,,,undefined
Computer Science,Using LLMs to understand Chemical regulatory and R&D datasets,Professor: Rahul Nabar,UID: CS03,LLMs are a very powerful tool to analyse textual datasets. There are large legacy datasets in chemical companies from decades of research and marketing campaigns. There is interest to exploit these datasets to extract actionable intelligence however confidentiality considerations impose constraints. Idea of this project is to train a customized LLM for this purpose and use it to explore chemical datasets. We will ultimately train the model on a real dataset from a German /  US chemicals company. Part of the work involves automated data cleanup and analytics including an OCR pipeline. The project would be of interest to students who are interested in applied projects with an IT and analytics core applied to domain knowledge.,2,Students entering their 4th/5th year,9 and above,Excellent coding skills.,Summer but extension possible on mutual interest,Mastering custom LLMs and APIs for domain expert systems.,6 hours per day. Meet every week online 1 to 2x.,ChatGPT API for custom LLMs,Understand the approach and chatGPT custom LLM ApI and be ready to answer oral uestions.,undefined
Computer Science,See https://docs.google.com/document/d/1qxAmswuLpTYrhjvX1U7amTfSRmWlA6w0QFgRYeT54Ns/,Professor: Sharat,UID: CS04,See https://docs.google.com/document/d/1qxAmswuLpTYrhjvX1U7amTfSRmWlA6w0QFgRYeT54Ns/,See https://docs.google.com/document/d/1qxAmswuLpTYrhjvX1U7amTfSRmWlA6w0QFgRYeT54Ns/,Students entering their 4th/5th year,"9 in relevant courses, can be relaxed to 8.5",See https://docs.google.com/document/d/1qxAmswuLpTYrhjvX1U7amTfSRmWlA6w0QFgRYeT54Ns/,See https://docs.google.com/document/d/1qxAmswuLpTYrhjvX1U7amTfSRmWlA6w0QFgRYeT54Ns/,See https://docs.google.com/document/d/1qxAmswuLpTYrhjvX1U7amTfSRmWlA6w0QFgRYeT54Ns/,See https://docs.google.com/document/d/1qxAmswuLpTYrhjvX1U7amTfSRmWlA6w0QFgRYeT54Ns/,See https://docs.google.com/document/d/1qxAmswuLpTYrhjvX1U7amTfSRmWlA6w0QFgRYeT54Ns/,See https://docs.google.com/document/d/1qxAmswuLpTYrhjvX1U7amTfSRmWlA6w0QFgRYeT54Ns/,undefined
Computer Science,Online secretary problem,Professor: Rohit Gurjar,UID: CS05,"One interesting area in algorithms research is online algorithms, where the input come piece by piece and the algorithm has to immediately make some decision after looking one piece. For example, a taxi booking app has to optimally allocate taxis without knowing the booking requests coming in future. Randomization is a useful tool in the online setting. The project will be on improving some variants of the online secretary problem. To get a better idea of the project, see this report https://www.cse.iitb.ac.in/~rgurjar/CS485_Report-1.pdf",1,"Students entering their 3rd year, Students entering their 4th/5th year",NA,CS218,"1 semester (to get some concrete output, the project will need to be continuted in the next sem)","Student should be interested in algorithms and probability. The student will get an idea of how is it to do research in theoretical computer science. Specifically, they will learn how randomization is helpful in design of algorithms. Summer time will be spent on getting  familiarity with the basics. If the student puts enough effort, they can possibly get a publishable result in one semester.",Meet every week.,"Look at this report and the references therein
 https://www.cse.iitb.ac.in/~rgurjar/CS485_Report-1.pdf",Should understand section 2.1 in the above report. Should think about the case when we want to take 2 secretaries instead of 1.,undefined
